Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 11/17/2016 2:47:13 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI
dDocent_Contig_1670_102    2     1808  0.920  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_1670_107    2     1808  0.415  0.330  0.275  0.946  0.862  0.779  0.504  0.711
dDocent_Contig_1723_18    2     1794  0.880  0.494  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_1772_93    2     1785  0.389  0.374  0.304  0.930  0.848  0.761  0.462  0.678
dDocent_Contig_1777_104    2     1729  0.491  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1777_116    2     1729  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1852_116    2     1797  0.387  0.388  0.313  0.925  0.844  0.756  0.450  0.668
dDocent_Contig_1915_78    2     1792  0.449  0.440  0.343  0.903  0.828  0.738  0.410  0.633
dDocent_Contig_1915_141    2     1791  0.357  0.349  0.288  0.939  0.856  0.771  0.485  0.697
dDocent_Contig_2155_140    2     1783  0.468  0.463  0.355  0.893  0.822  0.731  0.396  0.618
dDocent_Contig_2157_69    2     1730  0.416  0.430  0.337  0.908  0.831  0.742  0.417  0.639
dDocent_Contig_2157_117    2     1730  0.437  0.413  0.327  0.915  0.836  0.748  0.430  0.651
dDocent_Contig_2168_33    2     1755  0.488  0.465  0.357  0.892  0.821  0.730  0.394  0.616
dDocent_Contig_2168_41    2     1755  0.489  0.466  0.357  0.892  0.821  0.730  0.394  0.616
dDocent_Contig_2196_68    2     1782  0.451  0.437  0.341  0.905  0.829  0.739  0.413  0.635
dDocent_Contig_2196_92    2     1782  0.513  0.493  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_2197_31    2     1770  0.748  0.476  0.363  0.887  0.819  0.726  0.388  0.609
dDocent_Contig_2197_79    2     1770  0.808  0.489  0.369  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_2197_127    2     1770  0.484  0.368  0.300  0.932  0.850  0.764  0.467  0.683
dDocent_Contig_2197_130    2     1770  0.859  0.491  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_2365_126    2     1727  0.797  0.480  0.365  0.885  0.818  0.725  0.386  0.606
dDocent_Contig_2519_10    2     1747  0.599  0.430  0.337  0.908  0.831  0.742  0.418  0.640
dDocent_Contig_2519_75    2     1747  0.634  0.473  0.361  0.888  0.819  0.727  0.390  0.611
dDocent_Contig_2519_103    2     1747  0.598  0.429  0.337  0.908  0.831  0.742  0.418  0.640
dDocent_Contig_2682_72    2     1758  0.494  0.494  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_2714_105    2     1746  0.612  0.453  0.350  0.897  0.825  0.734  0.402  0.624
dDocent_Contig_2832_124    2     1747  0.528  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_3087_76    2     1792  0.411  0.411  0.326  0.916  0.837  0.748  0.432  0.653
dDocent_Contig_3300_90    2     1785  0.489  0.489  0.369  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_3485_119    2     1796  0.489  0.390  0.314  0.924  0.843  0.756  0.448  0.667
dDocent_Contig_3485_120    2     1796  0.489  0.390  0.314  0.924  0.843  0.756  0.448  0.667
dDocent_Contig_3485_123    2     1796  0.489  0.390  0.314  0.924  0.843  0.756  0.448  0.667
dDocent_Contig_3513_45    2     1788  0.469  0.474  0.362  0.888  0.819  0.727  0.389  0.610
dDocent_Contig_3513_144    2     1769  0.393  0.391  0.314  0.924  0.843  0.755  0.448  0.667
dDocent_Contig_3525_64    2     1799  0.500  0.484  0.367  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_3578_40    2     1783  0.435  0.428  0.336  0.908  0.832  0.742  0.419  0.641
dDocent_Contig_3578_100    2     1783  0.443  0.424  0.334  0.910  0.833  0.744  0.422  0.644
dDocent_Contig_3687_11    2     1787  0.507  0.467  0.358  0.891  0.821  0.729  0.393  0.615
dDocent_Contig_3752_37    2     1797  0.776  0.475  0.362  0.887  0.819  0.727  0.388  0.610
dDocent_Contig_3752_128    2     1797  0.855  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_3772_100    2     1775  0.989  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_3921_11    2     1750  0.315  0.366  0.299  0.933  0.850  0.765  0.469  0.684
dDocent_Contig_3921_19    2     1750  0.336  0.384  0.310  0.926  0.845  0.758  0.453  0.672
dDocent_Contig_4000_21    2     1790  0.406  0.415  0.329  0.914  0.836  0.747  0.429  0.650
dDocent_Contig_4000_67    2     1790  0.482  0.468  0.358  0.891  0.821  0.729  0.393  0.614
dDocent_Contig_4000_96    2     1790  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_4224_100    2     1785  0.385  0.370  0.302  0.931  0.849  0.763  0.465  0.681
dDocent_Contig_4453_28    2     1781  0.450  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_4453_92    2     1781  0.313  0.351  0.289  0.939  0.855  0.771  0.483  0.696
dDocent_Contig_4453_134    2     1781  0.442  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_4506_46    2     1743  0.327  0.475  0.362  0.887  0.819  0.727  0.389  0.610
dDocent_Contig_4506_135    2     1741  0.327  0.475  0.362  0.887  0.819  0.727  0.388  0.610
dDocent_Contig_4543_109    2     1786  0.348  0.351  0.289  0.938  0.855  0.771  0.483  0.695
dDocent_Contig_4769_60    2     1791  0.736  0.494  0.372  0.878  0.814  0.721  0.378  0.597
dDocent_Contig_4769_62    2     1791  0.736  0.494  0.372  0.878  0.814  0.721  0.378  0.597
dDocent_Contig_4772_30    2     1772  0.379  0.383  0.310  0.927  0.845  0.758  0.454  0.672
dDocent_Contig_4772_104    2     1772  0.301  0.328  0.274  0.946  0.863  0.780  0.505  0.712
dDocent_Contig_4858_10    2     1743  0.367  0.375  0.304  0.930  0.848  0.761  0.461  0.678
dDocent_Contig_4858_27    2     1743  0.470  0.471  0.360  0.889  0.820  0.728  0.391  0.612
dDocent_Contig_4894_13    2     1789  0.401  0.388  0.313  0.925  0.844  0.756  0.450  0.669
dDocent_Contig_4894_40    2     1789  0.458  0.467  0.358  0.891  0.821  0.729  0.393  0.615
dDocent_Contig_4896_46    2     1809  0.808  0.486  0.368  0.882  0.816  0.723  0.382  0.603
dDocent_Contig_4896_76    2     1809  0.786  0.478  0.364  0.886  0.818  0.726  0.387  0.608
dDocent_Contig_4896_124    2     1809  0.532  0.396  0.317  0.922  0.841  0.754  0.443  0.663
dDocent_Contig_4896_130    2     1809  0.761  0.491  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_4921_106    2     1749  0.442  0.438  0.342  0.904  0.829  0.739  0.412  0.634
dDocent_Contig_4921_125    2     1749  0.414  0.394  0.316  0.922  0.842  0.754  0.445  0.664
dDocent_Contig_5045_45    2     1737  0.353  0.342  0.284  0.941  0.858  0.774  0.491  0.702
dDocent_Contig_5412_112    2     1727  0.426  0.419  0.331  0.912  0.834  0.745  0.425  0.647
dDocent_Contig_5412_127    2     1727  0.411  0.414  0.328  0.914  0.836  0.747  0.429  0.651
dDocent_Contig_5463_72    2     1742  0.484  0.487  0.369  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_5463_134    2     1739  0.486  0.487  0.369  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_5490_61    2     1755  0.499  0.495  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_5518_121    2     1770  0.450  0.458  0.353  0.895  0.823  0.732  0.399  0.621
dDocent_Contig_5565_25    2     1790  0.354  0.346  0.286  0.940  0.857  0.773  0.488  0.699
dDocent_Contig_5654_26    2     1766  0.945  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_5715_80    2     1798  0.514  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_6058_12    2     1739  0.511  0.478  0.364  0.886  0.818  0.726  0.387  0.608
dDocent_Contig_6058_120    2     1739  0.506  0.496  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_6058_126    2     1739  0.513  0.497  0.374  0.876  0.813  0.720  0.376  0.596
dDocent_Contig_6097_96    2     1797  0.434  0.419  0.331  0.912  0.834  0.745  0.425  0.647
dDocent_Contig_6301_21    2     1763  0.490  0.467  0.358  0.891  0.821  0.729  0.393  0.615
dDocent_Contig_6319_34    2     1797  0.978  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6319_41    2     1797  0.981  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6319_78    2     1797  0.986  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6319_116    2     1797  0.974  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6378_33    2     1781  0.397  0.392  0.315  0.923  0.843  0.755  0.447  0.666
dDocent_Contig_6378_64    2     1781  0.373  0.380  0.308  0.928  0.846  0.760  0.457  0.674
dDocent_Contig_6378_87    2     1781  0.348  0.353  0.291  0.938  0.855  0.770  0.481  0.694
dDocent_Contig_6381_27    2     1766  0.864  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6381_36    2     1766  0.864  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6381_66    2     1766  0.857  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6381_97    2     1766  0.388  0.323  0.271  0.948  0.865  0.782  0.511  0.716
dDocent_Contig_6495_115    2     1769  0.916  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_6510_19    2     1797  0.442  0.455  0.352  0.896  0.824  0.733  0.400  0.622
dDocent_Contig_6510_42    2     1797  0.489  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6510_48    2     1797  0.498  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6669_59    2     1742  0.378  0.348  0.287  0.940  0.856  0.772  0.486  0.698
dDocent_Contig_6671_40    2     1734  0.601  0.422  0.333  0.911  0.834  0.744  0.423  0.645
dDocent_Contig_6722_49    2     1746  0.300  0.325  0.272  0.947  0.864  0.781  0.508  0.715
dDocent_Contig_6722_121    2     1746  0.455  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6926_73    2     1769  0.451  0.427  0.336  0.909  0.832  0.742  0.419  0.641
dDocent_Contig_6926_75    2     1769  0.485  0.463  0.356  0.893  0.822  0.731  0.396  0.617
dDocent_Contig_6926_79    2     1769  0.485  0.463  0.356  0.893  0.822  0.731  0.396  0.617
dDocent_Contig_7037_101    2     1793  0.474  0.466  0.357  0.891  0.821  0.730  0.394  0.615
dDocent_Contig_7072_24    2     1807  0.484  0.464  0.356  0.893  0.822  0.730  0.395  0.617
dDocent_Contig_7079_107    2     1754  0.387  0.403  0.322  0.919  0.839  0.751  0.438  0.658
dDocent_Contig_7118_33    2     1780  0.474  0.457  0.353  0.896  0.824  0.732  0.399  0.621
dDocent_Contig_7118_74    2     1780  0.524  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7118_127    2     1780  0.326  0.323  0.271  0.948  0.864  0.782  0.510  0.716
dDocent_Contig_7182_105    2     1784  0.413  0.402  0.321  0.919  0.839  0.751  0.438  0.658
dDocent_Contig_7302_32    2     1772  0.847  0.489  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_7302_65    2     1772  0.978  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7372_64    2     1803  0.385  0.370  0.301  0.932  0.849  0.763  0.466  0.682
dDocent_Contig_7414_8    2     1782  0.405  0.409  0.325  0.916  0.837  0.749  0.433  0.654
dDocent_Contig_7628_94    2     1768  0.510  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7680_10    2     1773  0.351  0.356  0.293  0.937  0.854  0.769  0.478  0.692
dDocent_Contig_7680_22    2     1773  0.517  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7680_97    2     1773  0.510  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_7680_114    2     1773  0.511  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_7704_12    2     1803  0.539  0.407  0.324  0.917  0.838  0.750  0.435  0.656
dDocent_Contig_7704_74    2     1803  0.622  0.482  0.366  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_7790_25    2     1794  0.466  0.470  0.360  0.889  0.820  0.728  0.391  0.613
dDocent_Contig_7790_109    2     1793  0.500  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7790_111    2     1793  0.328  0.339  0.281  0.943  0.859  0.776  0.495  0.704
dDocent_Contig_7855_93    2     1779  0.389  0.414  0.328  0.914  0.836  0.747  0.429  0.650
dDocent_Contig_7922_135    2     1793  0.400  0.412  0.327  0.915  0.836  0.748  0.431  0.652
dDocent_Contig_7971_104    2     1764  0.355  0.364  0.298  0.934  0.851  0.765  0.470  0.685
dDocent_Contig_7971_131    2     1763  0.305  0.320  0.269  0.949  0.866  0.783  0.513  0.718
dDocent_Contig_8010_116    2     1770  0.356  0.373  0.304  0.930  0.848  0.762  0.462  0.679
dDocent_Contig_8010_133    2     1770  0.350  0.361  0.296  0.935  0.852  0.767  0.473  0.688
dDocent_Contig_8042_60    2     1754  0.412  0.327  0.274  0.946  0.863  0.780  0.506  0.713
dDocent_Contig_8042_144    2     1752  0.408  0.325  0.272  0.947  0.864  0.781  0.509  0.715
dDocent_Contig_8079_64    2     1766  0.343  0.334  0.278  0.944  0.861  0.778  0.499  0.708
dDocent_Contig_8223_61    2     1775  0.433  0.441  0.344  0.903  0.828  0.738  0.410  0.632
dDocent_Contig_8378_16    2     1765  0.422  0.399  0.320  0.920  0.840  0.752  0.441  0.660
dDocent_Contig_8378_100    2     1765  0.492  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_8507_136    2     1782  0.888  0.494  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_8535_78    2     1762  0.336  0.329  0.275  0.946  0.863  0.780  0.505  0.712
dDocent_Contig_8535_99    2     1762  0.340  0.333  0.277  0.945  0.861  0.778  0.501  0.709
dDocent_Contig_8535_100    2     1762  0.340  0.333  0.277  0.945  0.861  0.778  0.501  0.709
dDocent_Contig_8535_101    2     1762  0.340  0.333  0.277  0.945  0.861  0.778  0.501  0.709
dDocent_Contig_8543_22    2     1814  0.450  0.354  0.292  0.937  0.854  0.769  0.480  0.693
dDocent_Contig_8543_136    2     1811  0.602  0.427  0.336  0.909  0.832  0.742  0.419  0.641
dDocent_Contig_8749_75    2     1793  0.429  0.420  0.332  0.912  0.834  0.745  0.424  0.646
dDocent_Contig_9042_136    2     1779  0.517  0.384  0.310  0.926  0.845  0.758  0.453  0.671
dDocent_Contig_9046_23    2     1783  0.459  0.437  0.341  0.905  0.829  0.739  0.413  0.635
dDocent_Contig_9046_49    2     1783  0.479  0.457  0.353  0.896  0.824  0.732  0.399  0.621
dDocent_Contig_9196_20    2     1735  0.406  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_9433_128    2     1787  0.503  0.489  0.369  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_9854_121    2     1756  0.493  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_9912_29    2     1759  0.509  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_10093_125    2     1777  0.761  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_10139_144    2     1781  0.498  0.374  0.304  0.930  0.848  0.762  0.462  0.678
dDocent_Contig_10210_78    2     1780  0.970  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_10210_110    2     1780  0.961  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_10330_121    2     1764  0.496  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_10460_87    2     1730  0.498  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_10489_23    2     1794  0.483  0.469  0.359  0.890  0.820  0.729  0.392  0.613
dDocent_Contig_10653_45    2     1770  0.959  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_10661_121    2     1773  0.878  0.493  0.371  0.879  0.814  0.721  0.379  0.598
dDocent_Contig_10665_66    2     1755  0.530  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_10684_55    2     1737  0.648  0.439  0.342  0.904  0.829  0.739  0.411  0.634
dDocent_Contig_10684_79    2     1737  0.535  0.393  0.316  0.923  0.842  0.755  0.446  0.665
dDocent_Contig_10684_133    2     1737  0.573  0.410  0.326  0.916  0.837  0.749  0.433  0.653
dDocent_Contig_10795_45    2     1729  0.685  0.465  0.357  0.892  0.822  0.730  0.394  0.616
dDocent_Contig_10848_69    2     1778  0.786  0.479  0.364  0.886  0.818  0.726  0.386  0.607
dDocent_Contig_10848_111    2     1778  0.841  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_10873_37    2     1777  0.770  0.474  0.361  0.888  0.819  0.727  0.389  0.610
dDocent_Contig_10932_64    2     1775  0.380  0.392  0.315  0.923  0.843  0.755  0.447  0.666
dDocent_Contig_10932_102    2     1775  0.482  0.485  0.367  0.883  0.816  0.724  0.383  0.603
dDocent_Contig_10932_105    2     1775  0.482  0.485  0.367  0.883  0.816  0.724  0.383  0.603
dDocent_Contig_10932_127    2     1775  0.456  0.464  0.356  0.892  0.822  0.730  0.395  0.617
dDocent_Contig_11221_83    2     1771  0.455  0.464  0.356  0.892  0.822  0.730  0.395  0.617
dDocent_Contig_11237_23    2     1784  0.488  0.370  0.302  0.931  0.849  0.763  0.465  0.681
dDocent_Contig_11237_121    2     1784  0.644  0.438  0.342  0.904  0.829  0.739  0.412  0.634
dDocent_Contig_11237_134    2     1784  0.427  0.337  0.280  0.943  0.860  0.776  0.497  0.706
dDocent_Contig_11238_89    3     1761  0.746  0.646  0.572  0.792  0.645  0.496  0.199  0.477
dDocent_Contig_11238_112    2     1777  0.434  0.366  0.299  0.933  0.851  0.765  0.469  0.684
dDocent_Contig_11283_89    2     1782  0.482  0.451  0.349  0.898  0.825  0.734  0.403  0.625
dDocent_Contig_11409_35    2     1792  0.757  0.483  0.366  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_11409_40    2     1792  0.857  0.492  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_11409_73    2     1793  0.829  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_11409_95    2     1793  0.871  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_11441_80    2     1735  0.467  0.467  0.358  0.891  0.821  0.729  0.393  0.615
dDocent_Contig_11441_131    2     1734  0.497  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_11443_138    2     1741  0.404  0.396  0.317  0.922  0.841  0.754  0.443  0.663
dDocent_Contig_11524_69    2     1776  0.497  0.497  0.374  0.876  0.813  0.720  0.376  0.596
dDocent_Contig_11524_75    2     1776  0.498  0.497  0.374  0.876  0.813  0.720  0.376  0.596
dDocent_Contig_11524_109    2     1776  0.361  0.384  0.310  0.926  0.845  0.758  0.453  0.671
dDocent_Contig_11584_22    2     1776  0.443  0.444  0.345  0.901  0.827  0.737  0.408  0.630
dDocent_Contig_12076_38    2     1809  0.974  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_12136_31    2     1761  0.768  0.476  0.363  0.887  0.819  0.726  0.388  0.609
dDocent_Contig_12136_111    2     1759  0.678  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_12251_142    2     1744  0.329  0.337  0.280  0.943  0.860  0.776  0.496  0.706
dDocent_Contig_12493_55    2     1737  0.477  0.481  0.365  0.885  0.817  0.725  0.385  0.606
dDocent_Contig_12493_60    2     1737  0.478  0.480  0.365  0.885  0.818  0.725  0.385  0.606
dDocent_Contig_12538_104    2     1735  0.862  0.493  0.371  0.878  0.814  0.721  0.379  0.598
dDocent_Contig_12538_125    2     1734  0.860  0.493  0.371  0.879  0.814  0.721  0.379  0.598
dDocent_Contig_12649_33    2     1798  0.477  0.471  0.360  0.889  0.820  0.728  0.391  0.613
dDocent_Contig_12942_127    2     1796  0.854  0.489  0.370  0.880  0.815  0.722  0.381  0.600
dDocent_Contig_13193_78    2     1750  0.513  0.496  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_13246_75    2     1764  0.481  0.474  0.362  0.888  0.819  0.727  0.389  0.610
dDocent_Contig_13352_96    2     1799  0.316  0.321  0.269  0.949  0.865  0.783  0.513  0.718
dDocent_Contig_13386_141    2     1746  0.525  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_13525_16    2     1727  0.507  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13552_61    2     1752  0.404  0.401  0.320  0.920  0.840  0.752  0.439  0.660
dDocent_Contig_13552_132    2     1751  0.512  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_13577_81    2     1781  0.503  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_13646_13    2     1790  0.318  0.331  0.276  0.945  0.862  0.779  0.502  0.710
dDocent_Contig_13646_43    2     1790  0.318  0.332  0.277  0.945  0.862  0.779  0.502  0.710
dDocent_Contig_13646_44    2     1790  0.318  0.332  0.277  0.945  0.862  0.779  0.502  0.710
dDocent_Contig_13646_98    2     1790  0.363  0.368  0.300  0.932  0.850  0.764  0.467  0.683
dDocent_Contig_13832_82    2     1787  0.521  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_13839_87    2     1728  0.484  0.482  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_13933_100    2     1753  0.452  0.441  0.344  0.903  0.828  0.738  0.410  0.632
dDocent_Contig_14208_77    2     1739  0.313  0.331  0.276  0.945  0.862  0.779  0.503  0.710
dDocent_Contig_14208_134    2     1739  0.493  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_14856_134    2     1768  0.496  0.487  0.368  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_15113_123    2     1796  0.328  0.328  0.274  0.946  0.863  0.780  0.506  0.713
dDocent_Contig_15153_9    2     1729  0.463  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_15153_61    2     1729  0.311  0.337  0.280  0.943  0.860  0.776  0.496  0.705
dDocent_Contig_15153_109    2     1729  0.448  0.452  0.350  0.898  0.825  0.734  0.403  0.625
dDocent_Contig_15285_36    2     1787  0.508  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_15419_66    2     1776  0.911  0.496  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_15419_79    2     1776  0.907  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_15419_140    2     1774  0.697  0.454  0.351  0.897  0.825  0.733  0.401  0.623
dDocent_Contig_15426_14    2     1751  0.749  0.469  0.359  0.890  0.821  0.729  0.392  0.614
dDocent_Contig_15426_80    2     1751  0.989  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_15426_99    2     1751  0.742  0.467  0.358  0.891  0.821  0.729  0.393  0.615
dDocent_Contig_15426_124    2     1751  0.987  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_15426_128    2     1750  0.741  0.467  0.358  0.891  0.821  0.729  0.393  0.615
dDocent_Contig_15426_136    2     1750  0.987  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_15426_142    2     1749  0.987  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_15484_7    2     1772  0.419  0.423  0.334  0.910  0.833  0.744  0.422  0.644
dDocent_Contig_15484_81    2     1772  0.469  0.481  0.365  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_15484_94    2     1772  0.467  0.481  0.365  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_15509_45    2     1764  0.471  0.470  0.360  0.889  0.820  0.728  0.391  0.613
dDocent_Contig_15509_121    2     1764  0.346  0.343  0.284  0.941  0.858  0.774  0.491  0.701
dDocent_Contig_15534_37    2     1793  0.601  0.431  0.338  0.907  0.831  0.741  0.417  0.639
dDocent_Contig_15644_122    2     1780  0.879  0.494  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_15794_122    2     1804  0.917  0.497  0.373  0.877  0.813  0.720  0.377  0.596
