Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 11/19/2015 1:14:58 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_5522    3      493  0.258  0.265  0.249  0.965  0.863  0.760  0.557  0.757   NS   0.0157
dDocent_Contig_95161    2      493  0.124  0.123  0.116  0.992  0.942  0.894  0.776  0.883   ND  -0.0023
dDocent_Contig_4853    2      490  0.320  0.304  0.258  0.954  0.871  0.791  0.531  0.731   NS  -0.0267
dDocent_Contig_34599    2      492  0.289  0.294  0.251  0.957  0.875  0.795  0.542  0.739   NS   0.0088
dDocent_Contig_2365    2      487  0.224  0.199  0.179  0.980  0.910  0.845  0.662  0.816   NS  -0.0537
dDocent_Contig_70151    2      492  0.136  0.134  0.125  0.991  0.938  0.887  0.759  0.873   ND  -0.0085
dDocent_Contig_10489    2      493  0.262  0.265  0.230  0.965  0.885  0.809  0.575  0.761   NS   0.0063
dDocent_Contig_18816    2      493  0.241  0.219  0.195  0.976  0.903  0.833  0.635  0.800   NS  -0.0500
dDocent_Contig_226526    2      493  0.357  0.329  0.274  0.946  0.863  0.780  0.505  0.712   NS  -0.0421
dDocent_Contig_85234    2      493  0.193  0.200  0.180  0.980  0.910  0.844  0.660  0.815   NS   0.0181
dDocent_Contig_52904    2      493  0.270  0.260  0.226  0.966  0.887  0.812  0.582  0.766   NS  -0.0196
dDocent_Contig_148177    2      493  0.176  0.178  0.162  0.984  0.919  0.858  0.692  0.834   ND   0.0026
dDocent_Contig_27815    2      492  0.183  0.183  0.166  0.983  0.917  0.855  0.685  0.830   NS  -0.0009
dDocent_Contig_2197    2      493  0.118  0.111  0.105  0.994  0.948  0.904  0.797  0.894   ND  -0.0213
dDocent_Contig_128539    2      493  0.288  0.283  0.243  0.960  0.879  0.800  0.554  0.747   NS  -0.0093
dDocent_Contig_60904    3      492  0.352  0.332  0.300  0.945  0.835  0.722  0.478  0.704   NS  -0.0271
dDocent_Contig_58632    2      493  0.195  0.202  0.181  0.980  0.909  0.843  0.658  0.814   NS   0.0168
dDocent_Contig_194399    2      492  0.110  0.107  0.102  0.994  0.949  0.906  0.803  0.897   ND  -0.0111
dDocent_Contig_90521    2      493  0.126  0.122  0.114  0.993  0.943  0.896  0.779  0.884   ND  -0.0177
dDocent_Contig_25541    2      493  0.217  0.225  0.199  0.975  0.900  0.830  0.627  0.794   NS   0.0167
dDocent_Contig_44067    2      493  0.525  0.487  0.368  0.881  0.816  0.723  0.382  0.602   NS  -0.0381
dDocent_Contig_42684    2      493  0.101  0.096  0.092  0.995  0.954  0.915  0.821  0.907   ND  -0.0168
dDocent_Contig_2250    2      491  0.179  0.163  0.150  0.987  0.925  0.867  0.714  0.847   ND  -0.0397
dDocent_Contig_45579    2      493  0.097  0.096  0.092  0.995  0.954  0.915  0.821  0.907   ND  -0.0056
dDocent_Contig_80813    2      493  0.288  0.272  0.235  0.963  0.883  0.805  0.567  0.756   NS  -0.0288
dDocent_Contig_21137    2      493  0.505  0.488  0.369  0.881  0.816  0.723  0.381  0.602   NS  -0.0177
dDocent_Contig_57420    4      491  0.509  0.507  0.449  0.869  0.734  0.587  0.301  0.572   NS   0.0000
dDocent_Contig_49682    2      493  0.400  0.372  0.302  0.931  0.849  0.763  0.464  0.680   NS  -0.0365
dDocent_Contig_10848    2      491  0.147  0.139  0.130  0.990  0.935  0.883  0.750  0.868   ND  -0.0255
dDocent_Contig_46802    2      492  0.116  0.109  0.103  0.994  0.948  0.905  0.800  0.895   ND  -0.0208
dDocent_Contig_83065    2      492  0.459  0.406  0.323  0.918  0.838  0.750  0.436  0.656   NS  -0.0624
dDocent_Contig_30233    2      493  0.124  0.123  0.116  0.992  0.942  0.894  0.776  0.883   ND  -0.0023
dDocent_Contig_14686    2      493  0.264  0.258  0.225  0.967  0.888  0.812  0.584  0.767   NS  -0.0110
dDocent_Contig_58891    2      493  0.347  0.363  0.297  0.934  0.851  0.766  0.472  0.686   NS   0.0228
dDocent_Contig_31629    2      492  0.417  0.410  0.326  0.916  0.837  0.749  0.432  0.653   NS  -0.0083
dDocent_Contig_52108    2      493  0.138  0.139  0.129  0.990  0.935  0.883  0.751  0.868   ND   0.0033
dDocent_Contig_107712    2      493  0.120  0.116  0.109  0.993  0.945  0.900  0.788  0.889   ND  -0.0153
dDocent_Contig_21892    3      492  0.325  0.324  0.296  0.947  0.837  0.724  0.485  0.709   NS   0.0035
dDocent_Contig_92248    2      493  0.183  0.179  0.163  0.984  0.918  0.857  0.690  0.833   ND  -0.0098
dDocent_Contig_31150    2      493  0.389  0.375  0.304  0.930  0.848  0.761  0.461  0.678   NS  -0.0196
dDocent_Contig_97167    2      493  0.134  0.129  0.120  0.992  0.940  0.891  0.768  0.878   ND  -0.0208
dDocent_Contig_3525    2      493  0.513  0.479  0.364  0.885  0.818  0.726  0.386  0.607   NS  -0.0349
dDocent_Contig_35046    2      491  0.462  0.429  0.337  0.908  0.832  0.742  0.419  0.641   NS  -0.0383
dDocent_Contig_189718    2      493  0.164  0.164  0.151  0.987  0.925  0.866  0.712  0.846   ND  -0.0002
dDocent_Contig_70905    3      492  0.394  0.412  0.364  0.915  0.796  0.672  0.394  0.643   NS   0.0244
dDocent_Contig_5597    2      487  0.107  0.101  0.096  0.995  0.952  0.911  0.813  0.903   ND  -0.0183
dDocent_Contig_33157    2      493  0.562  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0599
dDocent_Contig_21218    2      491  0.411  0.422  0.332  0.911  0.834  0.745  0.424  0.645   NS   0.0117
dDocent_Contig_180292    3      493  0.237  0.249  0.234  0.969  0.872  0.774  0.579  0.770   NS   0.0221
dDocent_Contig_38640    3      490  0.333  0.324  0.296  0.948  0.837  0.724  0.485  0.709   NS  -0.0125
dDocent_Contig_35308    2      493  0.272  0.253  0.220  0.968  0.890  0.815  0.591  0.772   NS  -0.0372
dDocent_Contig_24506    2      491  0.132  0.124  0.116  0.992  0.942  0.894  0.776  0.882   ND  -0.0255
dDocent_Contig_29766    2      475  0.453  0.447  0.347  0.901  0.827  0.736  0.406  0.629   NS  -0.0073
dDocent_Contig_58785    2      493  0.501  0.467  0.358  0.891  0.821  0.729  0.394  0.615   NS  -0.0359
dDocent_Contig_46127    2      493  0.335  0.318  0.267  0.950  0.867  0.785  0.516  0.720   NS  -0.0266
dDocent_Contig_41338    2      493  0.503  0.486  0.367  0.882  0.816  0.723  0.383  0.603   NS  -0.0181
dDocent_Contig_1400    2      490  0.202  0.182  0.165  0.984  0.917  0.855  0.686  0.831   NS  -0.0468
dDocent_Contig_149409    2      493  0.138  0.142  0.132  0.990  0.934  0.881  0.746  0.865   ND   0.0155
dDocent_Contig_157954    2      492  0.376  0.366  0.299  0.933  0.851  0.765  0.469  0.684   NS  -0.0139
dDocent_Contig_3206    3      492  0.537  0.516  0.427  0.867  0.762  0.637  0.323  0.573   NS  -0.0262
dDocent_Contig_20883    4      492  0.260  0.256  0.245  0.966  0.862  0.754  0.565  0.764   NS  -0.0198
dDocent_Contig_100701    2      488  0.195  0.176  0.160  0.985  0.920  0.859  0.695  0.836   ND  -0.0445
dDocent_Contig_183842    2      493  0.223  0.220  0.196  0.976  0.902  0.833  0.633  0.798   NS  -0.0073
dDocent_Contig_7258    2      491  0.521  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0210
dDocent_Contig_65588    2      493  0.170  0.169  0.155  0.986  0.923  0.863  0.705  0.842   ND  -0.0035
dDocent_Contig_48086    2      492  0.138  0.129  0.120  0.992  0.940  0.890  0.768  0.878   ND  -0.0272
dDocent_Contig_121722    2      493  0.140  0.141  0.131  0.990  0.935  0.882  0.749  0.867   ND   0.0021
dDocent_Contig_84235    2      491  0.422  0.422  0.333  0.911  0.834  0.744  0.423  0.645   NS   0.0004
dDocent_Contig_36190    2      493  0.120  0.113  0.106  0.994  0.947  0.902  0.794  0.892   ND  -0.0218
dDocent_Contig_51212    3      492  0.386  0.370  0.334  0.932  0.813  0.690  0.433  0.674   NS  -0.0287
dDocent_Contig_108223    4      487  0.351  0.356  0.338  0.934  0.801  0.659  0.433  0.680   NS   0.0035
dDocent_Contig_13792    2      483  0.234  0.207  0.185  0.979  0.907  0.840  0.651  0.809   NS  -0.0569
dDocent_Contig_93419    2      493  0.101  0.100  0.095  0.995  0.953  0.912  0.815  0.904   ND  -0.0075
dDocent_Contig_196327    2      493  0.462  0.443  0.345  0.902  0.828  0.737  0.409  0.631   NS  -0.0219
dDocent_Contig_104841    2      493  0.209  0.225  0.199  0.975  0.900  0.830  0.627  0.794   NS   0.0358
dDocent_Contig_30373    4      492  0.484  0.506  0.454  0.869  0.727  0.574  0.296  0.572   NS   0.0220
dDocent_Contig_46326    2      488  0.166  0.163  0.149  0.987  0.925  0.867  0.715  0.848   ND  -0.0110
dDocent_Contig_30363    3      486  0.553  0.545  0.469  0.852  0.725  0.585  0.283  0.549   NS  -0.0119
dDocent_Contig_104457    2      493  0.124  0.116  0.109  0.993  0.945  0.900  0.788  0.889   ND  -0.0230
dDocent_Contig_8702    2      493  0.120  0.120  0.112  0.993  0.944  0.897  0.782  0.886   ND  -0.0002
dDocent_Contig_105810    3      491  0.391  0.365  0.327  0.933  0.819  0.701  0.441  0.678   NS  -0.0391
dDocent_Contig_162386    2      493  0.383  0.366  0.299  0.933  0.851  0.765  0.470  0.685   NS  -0.0243
dDocent_Contig_26894    4      492  0.350  0.341  0.311  0.941  0.826  0.706  0.464  0.696   NS  -0.0209
dDocent_Contig_146526    2      493  0.176  0.174  0.159  0.985  0.921  0.860  0.697  0.837   ND  -0.0067
dDocent_Contig_12888    2      493  0.146  0.146  0.135  0.989  0.932  0.879  0.740  0.862   ND  -0.0012
dDocent_Contig_33537    2      493  0.408  0.390  0.314  0.924  0.843  0.756  0.449  0.668   NS  -0.0231
dDocent_Contig_49603    2      490  0.276  0.283  0.243  0.960  0.879  0.800  0.554  0.747   NS   0.0129
dDocent_Contig_155350    3      493  0.325  0.312  0.285  0.951  0.843  0.733  0.500  0.719   NS  -0.0218
dDocent_Contig_16900    2      493  0.140  0.148  0.137  0.989  0.932  0.877  0.738  0.861   ND   0.0259
dDocent_Contig_84200    3      491  0.505  0.471  0.402  0.889  0.775  0.649  0.349  0.602   NS  -0.0383
dDocent_Contig_76878    2      493  0.166  0.159  0.147  0.987  0.927  0.869  0.720  0.850   ND  -0.0218
dDocent_Contig_69839    2      493  0.187  0.169  0.155  0.986  0.923  0.863  0.705  0.842   ND  -0.0420
dDocent_Contig_53918    2      493  0.517  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0170
dDocent_Contig_10460    3      493  0.572  0.542  0.439  0.853  0.756  0.634  0.312  0.557   NS  -0.0287
dDocent_Contig_30863    2      491  0.456  0.429  0.337  0.908  0.832  0.742  0.418  0.640   NS  -0.0307
dDocent_Contig_62121    2      491  0.346  0.320  0.268  0.949  0.866  0.784  0.514  0.719   NS  -0.0401
dDocent_Contig_108242    2      493  0.101  0.096  0.092  0.995  0.954  0.915  0.821  0.907   ND  -0.0168
dDocent_Contig_25339    2      493  0.124  0.116  0.109  0.993  0.945  0.900  0.788  0.889   ND  -0.0230
dDocent_Contig_21317    2      493  0.122  0.129  0.120  0.992  0.940  0.891  0.768  0.878   ND   0.0268
dDocent_Contig_124366    2      491  0.381  0.367  0.299  0.933  0.850  0.765  0.469  0.684   NS  -0.0196
dDocent_Contig_537    2      493  0.146  0.146  0.135  0.989  0.932  0.879  0.740  0.862   ND  -0.0012
dDocent_Contig_53671    2      493  0.128  0.127  0.119  0.992  0.941  0.892  0.771  0.879   ND  -0.0044
dDocent_Contig_132090    2      493  0.103  0.102  0.097  0.995  0.952  0.910  0.812  0.902   ND  -0.0084
dDocent_Contig_72746    2      493  0.213  0.190  0.172  0.982  0.914  0.850  0.674  0.823   NS  -0.0503
dDocent_Contig_25513    2      491  0.287  0.280  0.241  0.961  0.880  0.802  0.558  0.750   NS  -0.0134
dDocent_Contig_28611    4      491  0.342  0.339  0.319  0.941  0.815  0.683  0.457  0.695   NS  -0.0138
dDocent_Contig_63598    2      492  0.283  0.266  0.230  0.965  0.885  0.809  0.575  0.761   NS  -0.0312
dDocent_Contig_51980    2      493  0.430  0.446  0.346  0.901  0.827  0.736  0.407  0.629   NS   0.0175
dDocent_Contig_50547    2      493  0.132  0.130  0.122  0.992  0.939  0.889  0.765  0.876   ND  -0.0064
dDocent_Contig_120418    2      493  0.402  0.371  0.302  0.931  0.849  0.763  0.465  0.681   NS  -0.0405
dDocent_Contig_57869    2      493  0.316  0.280  0.241  0.961  0.880  0.802  0.558  0.749   NS  -0.0610
dDocent_Contig_34258    2      493  0.351  0.344  0.284  0.941  0.858  0.774  0.490  0.701   NS  -0.0110
dDocent_Contig_25264    2      493  0.499  0.475  0.362  0.887  0.819  0.727  0.389  0.610   NS  -0.0250
dDocent_Contig_59334    2      491  0.487  0.455  0.351  0.897  0.824  0.733  0.401  0.623   NS  -0.0342
dDocent_Contig_56573    2      493  0.274  0.274  0.236  0.963  0.882  0.805  0.566  0.755   NS  -0.0011
dDocent_Contig_23050    2      489  0.123  0.119  0.112  0.993  0.944  0.898  0.784  0.887   ND  -0.0164
dDocent_Contig_139851    2      493  0.542  0.479  0.364  0.885  0.818  0.726  0.386  0.607   NS  -0.0617
dDocent_Contig_181651    2      492  0.110  0.107  0.102  0.994  0.949  0.906  0.803  0.897   ND  -0.0111
dDocent_Contig_10093    2      489  0.106  0.101  0.096  0.995  0.952  0.911  0.814  0.903   ND  -0.0181
dDocent_Contig_138016    2      493  0.146  0.142  0.132  0.990  0.934  0.881  0.746  0.865   ND  -0.0131
dDocent_Contig_88026    2      493  0.519  0.485  0.367  0.883  0.816  0.724  0.383  0.604   NS  -0.0347
dDocent_Contig_2048    2      493  0.497  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0030
dDocent_Contig_34290    4      490  0.527  0.533  0.464  0.855  0.725  0.579  0.287  0.555   NS   0.0065
dDocent_Contig_27941    2      492  0.230  0.225  0.200  0.975  0.900  0.830  0.626  0.794   NS  -0.0107
dDocent_Contig_23828    2      493  0.122  0.114  0.108  0.993  0.946  0.901  0.791  0.891   ND  -0.0224
dDocent_Contig_22657    2      493  0.138  0.136  0.126  0.991  0.937  0.886  0.757  0.871   ND  -0.0093
dDocent_Contig_30344    3      493  0.300  0.324  0.272  0.948  0.864  0.780  0.509  0.715   NS   0.0375
dDocent_Contig_24672    2      493  0.335  0.308  0.260  0.953  0.870  0.789  0.527  0.728   NS  -0.0425
dDocent_Contig_51538    2      493  0.525  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0312
dDocent_Contig_17273    2      493  0.454  0.458  0.353  0.895  0.823  0.732  0.399  0.621   NS   0.0039
dDocent_Contig_11368    2      492  0.128  0.120  0.113  0.993  0.944  0.897  0.782  0.886   ND  -0.0242
dDocent_Contig_16329    2      493  0.357  0.354  0.291  0.938  0.855  0.770  0.481  0.693   NS  -0.0051
dDocent_Contig_68601    2      493  0.264  0.250  0.218  0.969  0.891  0.817  0.594  0.774   NS  -0.0278
dDocent_Contig_96552    2      493  0.517  0.493  0.371  0.879  0.814  0.721  0.379  0.599   NS  -0.0249
dDocent_Contig_50509    2      493  0.205  0.187  0.170  0.982  0.915  0.852  0.678  0.826   NS  -0.0452
dDocent_Contig_55037    2      493  0.187  0.182  0.166  0.983  0.917  0.855  0.685  0.830   NS  -0.0118
dDocent_Contig_198107    2      493  0.110  0.107  0.101  0.994  0.949  0.906  0.803  0.897   ND  -0.0111
dDocent_Contig_78703    2      485  0.427  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS   0.0768
dDocent_Contig_82170    2      492  0.191  0.186  0.169  0.983  0.916  0.853  0.680  0.827   NS  -0.0139
dDocent_Contig_115076    3      487  0.528  0.531  0.436  0.859  0.757  0.633  0.315  0.563   NS   0.0027
dDocent_Contig_17353    2      493  0.481  0.462  0.355  0.893  0.822  0.731  0.396  0.618   NS  -0.0199
dDocent_Contig_71657    3      492  0.541  0.518  0.413  0.866  0.777  0.663  0.337  0.576   NS  -0.0229
dDocent_Contig_36740    2      484  0.101  0.096  0.091  0.995  0.954  0.915  0.822  0.907   ND  -0.0168
dDocent_Contig_2999    2      492  0.323  0.318  0.267  0.950  0.866  0.784  0.516  0.720   NS  -0.0084
dDocent_Contig_198867    2      492  0.431  0.432  0.338  0.907  0.831  0.741  0.416  0.638   NS   0.0008
dDocent_Contig_45309    2      493  0.233  0.242  0.213  0.971  0.894  0.820  0.604  0.780   NS   0.0188
dDocent_Contig_27517    2      491  0.216  0.230  0.203  0.974  0.898  0.827  0.620  0.790   NS   0.0310
dDocent_Contig_19397    2      493  0.138  0.129  0.120  0.992  0.940  0.891  0.768  0.878   ND  -0.0271
dDocent_Contig_71995    2      492  0.177  0.165  0.151  0.986  0.925  0.866  0.712  0.846   ND  -0.0360
dDocent_Contig_84119    2      492  0.102  0.097  0.092  0.995  0.954  0.914  0.821  0.907   ND  -0.0169
dDocent_Contig_15912    2      492  0.341  0.307  0.260  0.953  0.870  0.789  0.528  0.729   NS  -0.0538
dDocent_Contig_179251    2      493  0.205  0.190  0.172  0.982  0.914  0.850  0.674  0.823   NS  -0.0369
dDocent_Contig_53406    2      488  0.135  0.133  0.124  0.991  0.938  0.887  0.760  0.873   ND  -0.0078
dDocent_Contig_32966    2      490  0.471  0.428  0.336  0.909  0.832  0.742  0.419  0.641   NS  -0.0492
