Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 12/20/2016 4:40:53 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI
dDocent_Contig_4673_134    2     1708  0.456  0.484  0.367  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_4786_15    2     1698  0.450  0.488  0.369  0.881  0.816  0.723  0.381  0.601
dDocent_Contig_4786_54    2     1698  0.484  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_4786_78    2     1698  0.452  0.485  0.368  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_4871_106    2     1711  0.483  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_5046_27    2     1704  0.467  0.486  0.368  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_5050_82    2     1705  0.486  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_5079_21    2     1704  0.482  0.489  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_5086_38    2     1698  0.455  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_5086_72    2     1698  0.453  0.495  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_5086_97    2     1697  0.454  0.487  0.368  0.882  0.816  0.723  0.382  0.602
dDocent_Contig_5127_68    2     1707  0.497  0.499  0.374  0.876  0.813  0.719  0.376  0.594
dDocent_Contig_5195_52    2     1699  0.490  0.495  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_5429_21    2     1701  0.470  0.492  0.371  0.879  0.814  0.721  0.379  0.599
dDocent_Contig_5463_72    2     1707  0.459  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_5463_134    2     1706  0.458  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_5490_61    2     1707  0.479  0.496  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_5715_80    2     1717  0.507  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_5934_79    2     1702  0.457  0.496  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_5934_80    2     1702  0.457  0.496  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_5991_124    2     1706  0.492  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_6010_47    2     1699  0.455  0.491  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_6010_134    2     1699  0.436  0.485  0.368  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_6012_17    2     1701  0.476  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6058_120    2     1729  0.482  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_6058_126    2     1729  0.485  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_6510_42    2     1717  0.479  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6510_48    2     1717  0.487  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6644_18    2     1724  0.451  0.488  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_6689_144    2     1709  0.477  0.497  0.374  0.876  0.813  0.720  0.376  0.596
dDocent_Contig_6722_121    2     1706  0.438  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6757_103    2     1702  0.479  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_6776_33    2     1705  0.481  0.497  0.374  0.876  0.813  0.720  0.376  0.596
dDocent_Contig_6830_130    2     1700  0.490  0.483  0.366  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_6831_50    2     1710  0.472  0.496  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_6831_97    2     1710  0.456  0.479  0.364  0.885  0.818  0.726  0.386  0.607
dDocent_Contig_6846_65    2     1700  0.477  0.481  0.365  0.885  0.817  0.725  0.385  0.606
dDocent_Contig_6954_100    2     1705  0.455  0.483  0.366  0.883  0.817  0.724  0.384  0.605
dDocent_Contig_6954_101    2     1705  0.456  0.483  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_7068_50    2     1685  0.475  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_7078_106    2     1704  0.477  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7079_55    2     1711  0.480  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_7079_56    2     1711  0.481  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_7118_74    2     1710  0.504  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7148_50    2     1696  0.499  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7188_115    2     1705  0.484  0.494  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_7191_114    2     1703  0.455  0.487  0.368  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_7200_96    2     1699  0.504  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_7271_20    2     1693  0.455  0.478  0.364  0.886  0.818  0.726  0.387  0.608
dDocent_Contig_7408_114    2     1710  0.480  0.497  0.374  0.876  0.813  0.720  0.377  0.596
dDocent_Contig_7460_81    2     1704  0.497  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7534_139    2     1703  0.457  0.492  0.371  0.879  0.814  0.721  0.379  0.599
dDocent_Contig_7588_128    2     1690  0.454  0.488  0.369  0.881  0.816  0.723  0.381  0.601
dDocent_Contig_7628_94    2     1708  0.484  0.499  0.374  0.876  0.813  0.719  0.376  0.594
dDocent_Contig_7680_22    2     1721  0.503  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7680_97    2     1721  0.497  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_7680_114    2     1721  0.499  0.499  0.374  0.875  0.813  0.719  0.376  0.594
dDocent_Contig_7683_102    2     1702  0.480  0.484  0.367  0.883  0.817  0.724  0.383  0.604
dDocent_Contig_7683_137    2     1702  0.482  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_7738_98    2     1704  0.508  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_7761_97    2     1697  0.473  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_7886_125    2     1706  0.485  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_8046_98    2     1708  0.477  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_8144_89    2     1702  0.486  0.488  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_8189_87    2     1708  0.488  0.493  0.372  0.878  0.814  0.721  0.379  0.598
dDocent_Contig_8237_136    2     1710  0.442  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_8275_40    2     1707  0.494  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_8293_35    2     1707  0.474  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_8365_86    2     1713  0.472  0.494  0.372  0.878  0.814  0.721  0.378  0.597
dDocent_Contig_8378_100    2     1718  0.481  0.495  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_8436_15    2     1703  0.505  0.487  0.369  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_8489_24    2     1704  0.478  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_8762_101    2     1706  0.455  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_8906_54    2     1714  0.483  0.497  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_8906_56    2     1714  0.484  0.497  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_8927_99    2     1705  0.440  0.486  0.368  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_8967_140    2     1699  0.478  0.482  0.366  0.884  0.817  0.725  0.385  0.605
dDocent_Contig_9137_103    2     1712  0.498  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_9267_19    2     1714  0.480  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_9267_128    2     1714  0.478  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_9273_49    2     1706  0.484  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_9411_105    2     1713  0.489  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_9416_106    2     1702  0.453  0.487  0.368  0.882  0.816  0.723  0.382  0.602
dDocent_Contig_9433_128    2     1714  0.481  0.489  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_9584_115    2     1703  0.481  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_9594_79    2     1703  0.480  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_9683_48    2     1709  0.503  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_9808_27    2     1699  0.487  0.486  0.368  0.882  0.816  0.723  0.382  0.602
dDocent_Contig_9815_78    2     1690  0.472  0.486  0.368  0.882  0.816  0.723  0.382  0.603
dDocent_Contig_9854_121    2     1710  0.479  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_9912_29    2     1707  0.486  0.497  0.374  0.876  0.813  0.720  0.376  0.596
dDocent_Contig_10072_117    2     1699  0.486  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_10117_139    2     1696  0.461  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_10163_54    2     1699  0.470  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_10328_59    2     1702  0.471  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_10328_121    2     1702  0.463  0.494  0.372  0.878  0.814  0.721  0.378  0.597
dDocent_Contig_10330_121    2     1711  0.469  0.489  0.369  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_10374_122    2     1703  0.488  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_10460_87    2     1706  0.475  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_10570_42    2     1714  0.484  0.487  0.368  0.882  0.816  0.723  0.382  0.602
dDocent_Contig_10570_61    2     1714  0.471  0.482  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_10665_66    2     1705  0.504  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_10674_117    2     1702  0.472  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_10734_81    2     1697  0.452  0.488  0.369  0.881  0.816  0.723  0.381  0.601
dDocent_Contig_10915_118    2     1704  0.501  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_10932_102    2     1710  0.472  0.484  0.367  0.883  0.817  0.724  0.383  0.604
dDocent_Contig_10932_105    2     1710  0.473  0.484  0.367  0.883  0.817  0.724  0.383  0.604
dDocent_Contig_10981_64    2     1712  0.486  0.484  0.367  0.883  0.817  0.724  0.383  0.604
dDocent_Contig_11009_7    2     1674  0.480  0.494  0.372  0.878  0.814  0.721  0.378  0.597
dDocent_Contig_11215_96    2     1707  0.482  0.494  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_11341_102    2     1702  0.461  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_11395_127    2     1713  0.492  0.489  0.369  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_11441_131    2     1707  0.475  0.496  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_11524_69    2     1712  0.484  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_11524_75    2     1712  0.484  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_11579_11    2     1707  0.480  0.489  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_11579_102    2     1708  0.489  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_11709_73    2     1692  0.476  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_11798_100    2     1704  0.448  0.481  0.365  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_11828_121    2     1677  0.470  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_11864_22    2     1707  0.460  0.493  0.371  0.879  0.814  0.721  0.379  0.598
dDocent_Contig_12186_110    2     1699  0.490  0.489  0.370  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_12235_91    2     1709  0.493  0.499  0.374  0.876  0.813  0.719  0.376  0.594
dDocent_Contig_12284_9    2     1705  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_12327_66    2     1702  0.481  0.481  0.365  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_12435_98    2     1711  0.487  0.483  0.366  0.883  0.817  0.724  0.384  0.605
dDocent_Contig_12444_100    2     1699  0.467  0.495  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_12489_36    2     1704  0.471  0.479  0.364  0.885  0.818  0.725  0.386  0.607
dDocent_Contig_12557_78    2     1706  0.465  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_12810_83    2     1714  0.491  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_12937_82    2     1692  0.449  0.497  0.374  0.876  0.813  0.720  0.376  0.596
dDocent_Contig_12960_39    2     1709  0.459  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_12960_125    2     1709  0.479  0.499  0.374  0.876  0.813  0.719  0.376  0.594
dDocent_Contig_13159_106    2     1710  0.504  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13185_89    2     1690  0.496  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13193_78    2     1721  0.483  0.496  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_13216_68    2     1697  0.463  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13333_121    2     1712  0.526  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13369_32    2     1705  0.463  0.482  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_13386_141    2     1709  0.501  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_13399_7    2     1702  0.468  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13399_36    2     1702  0.468  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13399_52    2     1702  0.477  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13552_132    2     1708  0.487  0.494  0.372  0.878  0.814  0.721  0.378  0.597
dDocent_Contig_13577_81    2     1711  0.481  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_13591_31    2     1706  0.488  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_13718_135    2     1703  0.480  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_13832_82    2     1718  0.498  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_13839_87    2     1705  0.449  0.481  0.365  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_13912_121    2     1705  0.478  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13921_28    2     1704  0.493  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_13938_96    2     1700  0.474  0.478  0.364  0.886  0.818  0.726  0.387  0.607
dDocent_Contig_13973_55    2     1705  0.475  0.494  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_13977_7    2     1710  0.471  0.484  0.367  0.883  0.817  0.724  0.383  0.604
dDocent_Contig_13977_80    2     1710  0.489  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_14002_124    2     1711  0.465  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_14144_86    2     1713  0.485  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_14208_134    2     1703  0.478  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_14516_59    2     1706  0.486  0.492  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_14856_134    2     1705  0.486  0.485  0.368  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_15127_74    2     1698  0.468  0.487  0.368  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_15270_120    2     1699  0.444  0.497  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_15285_36    2     1716  0.495  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_15310_125    2     1698  0.451  0.489  0.370  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_15484_81    2     1714  0.453  0.483  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_15484_94    2     1714  0.452  0.483  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_15749_27    2     1701  0.504  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_15785_97    2     1711  0.500  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_15844_39    2     1701  0.471  0.481  0.365  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_15887_25    2     1706  0.453  0.480  0.365  0.885  0.818  0.725  0.386  0.606
dDocent_Contig_16072_55    2     1709  0.452  0.481  0.366  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_16158_98    2     1707  0.482  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_16238_77    2     1710  0.479  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_16324_123    2     1701  0.458  0.483  0.366  0.883  0.817  0.724  0.384  0.605
dDocent_Contig_16406_53    2     1710  0.478  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_16406_125    2     1710  0.477  0.492  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_16416_52    2     1690  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_16416_58    2     1690  0.495  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_16513_130    2     1697  0.484  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_16626_11    2     1717  0.493  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_16651_8    2     1697  0.467  0.491  0.370  0.879  0.815  0.722  0.380  0.599
dDocent_Contig_16681_125    2     1711  0.472  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_16791_139    2     1711  0.458  0.494  0.372  0.878  0.814  0.721  0.378  0.597
dDocent_Contig_16965_52    2     1708  0.460  0.485  0.367  0.883  0.816  0.724  0.383  0.604
dDocent_Contig_16975_63    2     1705  0.460  0.482  0.366  0.884  0.817  0.724  0.385  0.605
dDocent_Contig_16975_98    2     1705  0.489  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_17063_40    2     1715  0.472  0.493  0.371  0.879  0.814  0.721  0.379  0.598
dDocent_Contig_17063_70    2     1715  0.496  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_17127_114    2     1709  0.473  0.484  0.367  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_17181_64    2     1705  0.479  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_17260_110    2     1673  0.494  0.487  0.368  0.882  0.816  0.723  0.382  0.602
dDocent_Contig_17271_65    2     1695  0.470  0.482  0.366  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_17382_55    2     1697  0.499  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_17441_133    2     1705  0.462  0.483  0.366  0.883  0.817  0.724  0.384  0.605
dDocent_Contig_17622_108    2     1709  0.506  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_17662_34    2     1709  0.463  0.480  0.365  0.885  0.818  0.725  0.386  0.606
dDocent_Contig_17662_36    2     1709  0.463  0.480  0.365  0.885  0.818  0.725  0.386  0.606
dDocent_Contig_17662_40    2     1709  0.463  0.480  0.365  0.885  0.818  0.725  0.386  0.606
dDocent_Contig_17804_7    2     1711  0.465  0.489  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_18054_65    2     1698  0.510  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_18152_65    2     1710  0.499  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_18152_125    2     1710  0.491  0.497  0.374  0.876  0.813  0.720  0.376  0.596
dDocent_Contig_18212_129    2     1707  0.478  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_18212_143    2     1706  0.472  0.486  0.368  0.882  0.816  0.723  0.382  0.603
dDocent_Contig_18400_136    2     1709  0.452  0.481  0.365  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_18450_126    2     1711  0.497  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_18459_64    2     1709  0.493  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_18598_27    2     1718  0.477  0.482  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_18598_120    2     1717  0.507  0.499  0.374  0.876  0.813  0.719  0.376  0.595
