Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 12/31/2015 9:34:01 AM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_96339    6      933  0.354  0.342  0.325  0.939  0.808  0.669  0.450  0.692   NS  -0.0390
dDocent_Contig_4283    2      944  0.325  0.311  0.262  0.952  0.869  0.788  0.524  0.726   NS  -0.0230
dDocent_Contig_59975    3      941  0.441  0.411  0.361  0.915  0.799  0.676  0.397  0.644   NS  -0.0322
dDocent_Contig_28443    4      940  0.464  0.488  0.456  0.873  0.715  0.544  0.294  0.580   NS   0.0256
dDocent_Contig_59165    2      964  0.117  0.112  0.106  0.994  0.947  0.902  0.795  0.893   ND  -0.0220
dDocent_Contig_86711    5      931  0.144  0.134  0.127  0.991  0.936  0.882  0.757  0.872   ND  -0.0287
dDocent_Contig_14482    6      937  0.393  0.405  0.388  0.910  0.759  0.594  0.371  0.640   NS   0.0082
dDocent_Contig_18519    8      949  0.583  0.569  0.540  0.814  0.637  0.441  0.215  0.520   NS  -0.0243
dDocent_Contig_23405    2      956  0.421  0.433  0.339  0.906  0.830  0.740  0.415  0.637   NS   0.0146
dDocent_Contig_4832    3      944  0.375  0.405  0.360  0.918  0.797  0.671  0.399  0.647   NS   0.0376
dDocent_Contig_71594    9      935  0.733  0.743  0.703  0.658  0.480  0.292  0.106  0.405   NS   0.0058
dDocent_Contig_171665    2      941  0.116  0.122  0.115  0.993  0.943  0.895  0.778  0.883   ND   0.0266
dDocent_Contig_51967    2      947  0.192  0.176  0.160  0.985  0.920  0.859  0.695  0.836   NS  -0.0451
dDocent_Contig_113568    4      934  0.528  0.547  0.502  0.840  0.682  0.512  0.250  0.539   NS   0.0151
dDocent_Contig_35914    2      947  0.152  0.151  0.140  0.989  0.930  0.875  0.732  0.857   NS  -0.0030
dDocent_Contig_65538   12      915  0.825  0.824  0.802  0.516  0.343  0.163  0.052  0.351   NS  -0.0022
dDocent_Contig_18816    2      942  0.248  0.230  0.204  0.974  0.898  0.827  0.619  0.790   NS  -0.0381
dDocent_Contig_63713    4      934  0.473  0.494  0.455  0.871  0.719  0.554  0.295  0.577   NS   0.0164
dDocent_Contig_51450    5      938  0.377  0.376  0.335  0.929  0.814  0.695  0.431  0.670   NS  -0.0025
dDocent_Contig_44816    2      943  0.183  0.179  0.163  0.984  0.919  0.857  0.691  0.833   NS  -0.0133
dDocent_Contig_57243    5      933  0.473  0.475  0.433  0.882  0.738  0.583  0.318  0.592   NS  -0.0038
dDocent_Contig_25541    2      950  0.245  0.249  0.218  0.969  0.891  0.817  0.595  0.774   NS   0.0077
dDocent_Contig_49886    3      969  0.527  0.502  0.427  0.874  0.758  0.628  0.323  0.580   NS  -0.0270
dDocent_Contig_72387    2      958  0.364  0.340  0.282  0.942  0.859  0.775  0.494  0.704   NS  -0.0354
dDocent_Contig_5714    2      948  0.115  0.121  0.114  0.993  0.943  0.896  0.779  0.884   ND   0.0269
dDocent_Contig_11774    4      934  0.522  0.523  0.484  0.854  0.696  0.525  0.267  0.555   NS   0.0000
dDocent_Contig_10933    3      939  0.368  0.388  0.349  0.925  0.804  0.678  0.414  0.659   NS   0.0217
dDocent_Contig_97505    7      937  0.693  0.718  0.674  0.687  0.512  0.323  0.123  0.422   NS   0.0166
dDocent_Contig_95832    7      927  0.761  0.799  0.769  0.573  0.395  0.213  0.070  0.368   NS   0.0238
dDocent_Contig_60372    4      927  0.702  0.695  0.639  0.730  0.564  0.390  0.149  0.440   NS  -0.0081
dDocent_Contig_32999    2      941  0.177  0.188  0.170  0.982  0.915  0.852  0.678  0.826   NS   0.0273
dDocent_Contig_19432    2      958  0.375  0.369  0.301  0.932  0.850  0.764  0.467  0.682   NS  -0.0082
dDocent_Contig_7372    5      952  0.708  0.712  0.669  0.699  0.521  0.335  0.126  0.426   NS   0.0005
dDocent_Contig_27157    7      951  0.601  0.606  0.559  0.798  0.632  0.453  0.202  0.497   NS   0.0044
dDocent_Contig_41632    2      957  0.187  0.178  0.162  0.984  0.919  0.857  0.692  0.834   NS  -0.0248
dDocent_Contig_52108    2      948  0.119  0.127  0.119  0.992  0.941  0.892  0.770  0.879   ND   0.0310
dDocent_Contig_99149    2      941  0.125  0.127  0.119  0.992  0.941  0.892  0.771  0.879   ND   0.0055
dDocent_Contig_11251    6      949  0.436  0.436  0.388  0.903  0.776  0.639  0.366  0.624   NS  -0.0051
dDocent_Contig_46625    2      941  0.130  0.134  0.125  0.991  0.937  0.887  0.759  0.873   ND   0.0168
dDocent_Contig_199915    2      946  0.467  0.446  0.346  0.901  0.827  0.736  0.407  0.629   NS  -0.0237
dDocent_Contig_31150    2      963  0.373  0.361  0.296  0.935  0.852  0.767  0.474  0.688   NS  -0.0163
dDocent_Contig_97167    2      957  0.139  0.140  0.130  0.990  0.935  0.882  0.749  0.867   NS   0.0038
dDocent_Contig_37987    6      952  0.587  0.577  0.511  0.825  0.683  0.524  0.245  0.523   NS  -0.0086
dDocent_Contig_189718    2      964  0.161  0.165  0.151  0.986  0.924  0.866  0.711  0.845   NS   0.0131
dDocent_Contig_55710    4      942  0.326  0.342  0.314  0.940  0.824  0.702  0.461  0.694   NS   0.0203
dDocent_Contig_70905    3      950  0.393  0.413  0.366  0.915  0.794  0.668  0.391  0.641   NS   0.0258
dDocent_Contig_229496   11      894  0.639  0.662  0.629  0.732  0.550  0.346  0.147  0.456   NS   0.0129
dDocent_Contig_78249    7      931  0.714  0.730  0.684  0.682  0.508  0.327  0.119  0.415   NS   0.0096
dDocent_Contig_71724    4      933  0.264  0.251  0.236  0.969  0.871  0.771  0.576  0.769   NS  -0.0333
dDocent_Contig_50518    3      951  0.481  0.497  0.443  0.876  0.739  0.594  0.307  0.578   NS   0.0151
dDocent_Contig_46917    5      940  0.336  0.344  0.313  0.940  0.825  0.705  0.461  0.693   NS   0.0155
dDocent_Contig_24088    2      944  0.165  0.159  0.146  0.987  0.927  0.870  0.720  0.851   NS  -0.0204
dDocent_Contig_3454    2      941  0.468  0.456  0.352  0.896  0.824  0.733  0.400  0.622   NS  -0.0125
dDocent_Contig_35487    9      920  0.564  0.510  0.469  0.860  0.706  0.538  0.281  0.565   **  -0.0576
dDocent_Contig_123890    4      936  0.657  0.651  0.597  0.767  0.602  0.426  0.175  0.469   NS  -0.0061
dDocent_Contig_3206    3      961  0.514  0.519  0.427  0.865  0.762  0.639  0.323  0.571   NS   0.0009
dDocent_Contig_35225    7      921  0.744  0.745  0.701  0.665  0.489  0.309  0.109  0.405   NS   0.0001
dDocent_Contig_180982    2      951  0.128  0.122  0.114  0.993  0.943  0.895  0.779  0.884   ND  -0.0255
dDocent_Contig_89820    5      942  0.110  0.105  0.101  0.994  0.948  0.903  0.805  0.899   ND  -0.0190
dDocent_Contig_65588    3      946  0.246  0.240  0.226  0.971  0.877  0.781  0.591  0.778   NS  -0.0129
dDocent_Contig_38196    2      942  0.502  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0021
dDocent_Contig_20022    4      943  0.486  0.489  0.412  0.880  0.769  0.644  0.338  0.590   NS   0.0032
dDocent_Contig_34607    4      938  0.650  0.651  0.594  0.768  0.606  0.432  0.179  0.469   NS   0.0037
dDocent_Contig_8702    2      944  0.110  0.112  0.105  0.994  0.947  0.903  0.795  0.893   ND   0.0065
dDocent_Contig_162322    2      943  0.135  0.133  0.124  0.991  0.938  0.887  0.761  0.874   ND  -0.0066
dDocent_Contig_16900    2      943  0.127  0.136  0.126  0.991  0.937  0.885  0.756  0.871   NS   0.0319
dDocent_Contig_84200    3      940  0.457  0.451  0.387  0.898  0.785  0.661  0.365  0.616   NS  -0.0112
dDocent_Contig_30863   26      916  0.828  0.832  0.818  0.476  0.309  0.125  0.042  0.345   NS   0.0015
dDocent_Contig_78315    5      930  0.495  0.525  0.493  0.847  0.681  0.499  0.258  0.552   NS   0.0286
dDocent_Contig_78514    2      956  0.543  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0434
dDocent_Contig_9473    4      939  0.471  0.449  0.406  0.899  0.763  0.622  0.347  0.612   NS  -0.0294
dDocent_Contig_6510    6      949  0.661  0.685  0.631  0.735  0.569  0.392  0.153  0.446   NS   0.0183
dDocent_Contig_537    2      962  0.147  0.143  0.133  0.990  0.934  0.880  0.745  0.865   NS  -0.0127
dDocent_Contig_14144    3      933  0.553  0.556  0.465  0.845  0.733  0.600  0.288  0.544   NS   0.0023
dDocent_Contig_9112    3      948  0.455  0.471  0.424  0.889  0.751  0.607  0.327  0.596   NS   0.0156
dDocent_Contig_28611    2      957  0.253  0.260  0.226  0.966  0.887  0.811  0.581  0.765   NS   0.0139
dDocent_Contig_197360    2      941  0.187  0.182  0.165  0.984  0.917  0.855  0.686  0.831   NS  -0.0149
dDocent_Contig_63598    4      940  0.295  0.292  0.252  0.957  0.872  0.788  0.541  0.739   NS  -0.0068
dDocent_Contig_13646   10      929  0.745  0.733  0.693  0.665  0.489  0.298  0.112  0.412   NS  -0.0096
dDocent_Contig_7118   10      919  0.743  0.742  0.704  0.654  0.476  0.286  0.105  0.405   NS  -0.0025
dDocent_Contig_83411    2      951  0.098  0.104  0.099  0.995  0.951  0.908  0.808  0.900   ND   0.0323
dDocent_Contig_138265    2      946  0.230  0.231  0.204  0.973  0.898  0.827  0.618  0.789   NS   0.0010
dDocent_Contig_53832    4      927  0.467  0.477  0.427  0.882  0.746  0.598  0.323  0.593   NS   0.0017
dDocent_Contig_17063    9      926  0.730  0.742  0.698  0.666  0.490  0.307  0.110  0.407   NS   0.0077
dDocent_Contig_79090    3      943  0.336  0.318  0.294  0.949  0.836  0.720  0.489  0.713   NS  -0.0350
dDocent_Contig_50706    9      931  0.766  0.772  0.735  0.623  0.444  0.262  0.088  0.386   NS   0.0024
dDocent_Contig_61270    7      928  0.683  0.691  0.629  0.741  0.580  0.414  0.157  0.444   NS   0.0043
dDocent_Contig_129961    4      931  0.628  0.643  0.568  0.793  0.649  0.500  0.202  0.479   NS   0.0121
dDocent_Contig_178272    4      930  0.603  0.605  0.537  0.816  0.670  0.518  0.224  0.504   NS   0.0012
dDocent_Contig_34290    4      951  0.516  0.527  0.456  0.859  0.732  0.590  0.295  0.561   NS   0.0094
dDocent_Contig_131232    2      950  0.384  0.384  0.310  0.926  0.845  0.758  0.453  0.671   NS   0.0001
dDocent_Contig_40802    6      947  0.615  0.628  0.559  0.790  0.643  0.480  0.207  0.488   NS   0.0095
dDocent_Contig_33704    2      958  0.338  0.316  0.266  0.950  0.867  0.785  0.518  0.722   NS  -0.0348
dDocent_Contig_11524   17      921  0.771  0.810  0.786  0.539  0.364  0.179  0.059  0.360   NS   0.0229
dDocent_Contig_49018    4      956  0.502  0.467  0.401  0.889  0.773  0.644  0.350  0.604   NS  -0.0390
dDocent_Contig_19330    7      935  0.753  0.749  0.716  0.644  0.461  0.269  0.096  0.400   NS  -0.0021
dDocent_Contig_53395    2      942  0.247  0.243  0.214  0.970  0.893  0.820  0.602  0.779   NS  -0.0083
dDocent_Contig_96552    2      964  0.527  0.493  0.371  0.879  0.814  0.721  0.379  0.598   NS  -0.0335
dDocent_Contig_43338    4      944  0.554  0.548  0.445  0.849  0.750  0.625  0.307  0.553   NS  -0.0084
dDocent_Contig_55037    2      971  0.184  0.191  0.172  0.982  0.914  0.850  0.673  0.823   NS   0.0163
dDocent_Contig_45752    2      947  0.514  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0178
dDocent_Contig_82170    2      959  0.194  0.198  0.179  0.980  0.911  0.845  0.662  0.816   NS   0.0110
dDocent_Contig_60032    4      945  0.305  0.308  0.289  0.951  0.836  0.716  0.498  0.720   NS   0.0055
dDocent_Contig_55897    4      933  0.424  0.419  0.375  0.912  0.787  0.655  0.382  0.636   NS  -0.0066
dDocent_Contig_17353    2      962  0.471  0.461  0.355  0.894  0.823  0.731  0.397  0.619   NS  -0.0107
dDocent_Contig_20351    3      936  0.729  0.658  0.583  0.784  0.637  0.488  0.191  0.469  ***  -0.0548
dDocent_Contig_24122   22      910  0.869  0.888  0.879  0.360  0.219  0.071  0.021  0.311   NS   0.0111
dDocent_Contig_27317    3      933  0.563  0.545  0.485  0.852  0.709  0.559  0.267  0.545   NS  -0.0165
dDocent_Contig_26851    4      934  0.564  0.624  0.549  0.794  0.653  0.494  0.216  0.492    *   0.0502
dDocent_Contig_102116    3      952  0.523  0.511  0.448  0.869  0.739  0.598  0.302  0.570   NS  -0.0137
dDocent_Contig_1372    2      941  0.124  0.124  0.116  0.992  0.942  0.894  0.775  0.882   ND  -0.0013
dDocent_Contig_45309    2      953  0.219  0.227  0.201  0.974  0.899  0.829  0.623  0.792   NS   0.0176
dDocent_Contig_17864    4      936  0.722  0.710  0.654  0.719  0.551  0.380  0.140  0.430   NS  -0.0105
dDocent_Contig_62831    2      954  0.526  0.484  0.367  0.883  0.817  0.724  0.384  0.604   NS  -0.0420
dDocent_Contig_114045    2      951  0.148  0.152  0.140  0.989  0.930  0.875  0.731  0.857   NS   0.0107
dDocent_Contig_22416    2      943  0.251  0.245  0.215  0.970  0.893  0.819  0.601  0.778   NS  -0.0136
dDocent_Contig_129917    2      946  0.174  0.177  0.161  0.984  0.920  0.858  0.694  0.835   NS   0.0058
dDocent_Contig_5147    4      945  0.193  0.193  0.185  0.981  0.901  0.819  0.659  0.818   NS  -0.0013
dDocent_Contig_79691    2      953  0.314  0.316  0.266  0.950  0.867  0.785  0.518  0.721   NS   0.0037
dDocent_Contig_22516    2      942  0.133  0.137  0.127  0.991  0.936  0.885  0.755  0.870   NS   0.0148
dDocent_Contig_32696    2      945  0.181  0.166  0.152  0.986  0.924  0.865  0.709  0.844   NS  -0.0418
dDocent_Contig_58904    2      947  0.338  0.328  0.274  0.946  0.863  0.780  0.505  0.712   NS  -0.0145
dDocent_Contig_7414    3      967  0.498  0.477  0.404  0.886  0.774  0.650  0.346  0.598   NS  -0.0256
dDocent_Contig_10872    4      942  0.448  0.451  0.387  0.898  0.784  0.660  0.365  0.616   NS   0.0028
dDocent_Contig_1772    2      947  0.396  0.383  0.310  0.927  0.845  0.758  0.454  0.672   NS  -0.0166
dDocent_Contig_24903    3      928  0.566  0.569  0.495  0.839  0.706  0.561  0.260  0.531   NS   0.0008
dDocent_Contig_28296    4      929  0.642  0.679  0.625  0.745  0.578  0.403  0.157  0.450   NS   0.0298
dDocent_Contig_55993    4      944  0.355  0.353  0.316  0.938  0.826  0.710  0.455  0.688   NS  -0.0089
dDocent_Contig_13382   18      907  0.718  0.856  0.841  0.443  0.283  0.116  0.035  0.331  ***   0.0877
dDocent_Contig_39884    5      934  0.588  0.621  0.562  0.794  0.637  0.468  0.202  0.490   NS   0.0273
dDocent_Contig_92356    3      934  0.586  0.546  0.442  0.851  0.755  0.632  0.310  0.555   NS  -0.0372
dDocent_Contig_77840    2      959  0.114  0.116  0.110  0.993  0.945  0.899  0.788  0.889   ND   0.0119
dDocent_Contig_34632    2      942  0.139  0.139  0.129  0.990  0.936  0.883  0.752  0.869   NS  -0.0021
dDocent_Contig_18172    8      936  0.574  0.578  0.536  0.812  0.646  0.462  0.220  0.516   NS   0.0058
dDocent_Contig_27048    3      951  0.468  0.463  0.412  0.893  0.762  0.623  0.339  0.603   NS  -0.0081
dDocent_Contig_36882    6      931  0.748  0.731  0.685  0.685  0.509  0.329  0.118  0.414   NS  -0.0129
dDocent_Contig_108783    5      948  0.412  0.415  0.391  0.909  0.763  0.606  0.366  0.634   NS  -0.0030
dDocent_Contig_51373    2      941  0.098  0.103  0.097  0.995  0.951  0.910  0.811  0.901   ND   0.0237
dDocent_Contig_15534    2      965  0.104  0.098  0.093  0.995  0.953  0.913  0.818  0.905   ND  -0.0174
dDocent_Contig_18443    2      955  0.096  0.107  0.101  0.994  0.949  0.907  0.804  0.898   ND   0.0510
dDocent_Contig_58180    4      943  0.330  0.330  0.301  0.945  0.832  0.716  0.478  0.705   NS  -0.0102
dDocent_Contig_14391    2      956  0.315  0.309  0.261  0.952  0.869  0.788  0.525  0.727   NS  -0.0095
dDocent_Contig_105125    4      929  0.646  0.649  0.584  0.779  0.625  0.463  0.189  0.473   NS   0.0013
dDocent_Contig_187505    2      943  0.485  0.478  0.364  0.886  0.818  0.726  0.387  0.608   NS  -0.0069
dDocent_Contig_6382    4      951  0.488  0.488  0.436  0.881  0.744  0.599  0.314  0.585   NS  -0.0007
dDocent_Contig_106424    2      945  0.538  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0378
dDocent_Contig_29711    2      949  0.275  0.281  0.242  0.961  0.879  0.801  0.556  0.749   NS   0.0108
dDocent_Contig_4242   15      926  0.797  0.823  0.802  0.509  0.338  0.156  0.052  0.352   NS   0.0148
dDocent_Contig_35104    2      964  0.464  0.434  0.340  0.906  0.830  0.740  0.415  0.637   NS  -0.0334
dDocent_Contig_30590    2      944  0.457  0.436  0.341  0.905  0.830  0.740  0.413  0.636   NS  -0.0236
dDocent_Contig_1262    2      948  0.180  0.186  0.169  0.983  0.916  0.852  0.680  0.827   NS   0.0159
dDocent_Contig_28067    2      947  0.288  0.282  0.242  0.960  0.879  0.801  0.556  0.748   NS  -0.0119
dDocent_Contig_55980    2      941  0.441  0.416  0.329  0.914  0.835  0.746  0.428  0.649   NS  -0.0294
dDocent_Contig_146052    3      971  0.305  0.302  0.280  0.954  0.845  0.733  0.509  0.726   NS  -0.0147
dDocent_Contig_52588    2      944  0.094  0.096  0.091  0.995  0.954  0.915  0.823  0.908   ND   0.0068
dDocent_Contig_32402    2      944  0.302  0.307  0.260  0.953  0.870  0.789  0.528  0.729   NS   0.0078
dDocent_Contig_70200    3      959  0.499  0.485  0.368  0.883  0.815  0.722  0.382  0.603   NS  -0.0155
dDocent_Contig_65690    2      941  0.286  0.284  0.244  0.960  0.878  0.799  0.553  0.746   NS  -0.0027
dDocent_Contig_15035    2      952  0.132  0.133  0.124  0.991  0.938  0.888  0.761  0.874   ND   0.0011
dDocent_Contig_102443    3      946  0.515  0.487  0.414  0.882  0.767  0.639  0.336  0.591   NS  -0.0330
dDocent_Contig_4851    2      945  0.110  0.117  0.110  0.993  0.945  0.899  0.786  0.888   ND   0.0309
dDocent_Contig_5416    3      967  0.553  0.626  0.550  0.804  0.663  0.514  0.216  0.491  ***   0.0598
dDocent_Contig_969   21      914  0.885  0.897  0.887  0.347  0.209  0.069  0.020  0.307   NS   0.0063
dDocent_Contig_40918    2      956  0.212  0.198  0.178  0.980  0.911  0.845  0.663  0.817   NS  -0.0350
dDocent_Contig_57057    5      930  0.575  0.588  0.536  0.814  0.655  0.483  0.222  0.512   NS   0.0090
dDocent_Contig_4092    2      952  0.367  0.403  0.322  0.919  0.839  0.751  0.437  0.658   NS   0.0475
dDocent_Contig_11270    5      935  0.509  0.540  0.501  0.842  0.680  0.505  0.251  0.543   NS   0.0284
dDocent_Contig_5747    2      960  0.313  0.296  0.252  0.956  0.874  0.794  0.540  0.737   NS  -0.0280
dDocent_Contig_102932   19      923  0.665  0.654  0.640  0.715  0.520  0.292  0.134  0.456   NS  -0.0132
dDocent_Contig_16650    7      941  0.635  0.635  0.591  0.774  0.602  0.417  0.177  0.477   NS  -0.0052
dDocent_Contig_3513   17      918  0.849  0.868  0.854  0.417  0.262  0.101  0.031  0.324   NS   0.0101
dDocent_Contig_14050    2      957  0.468  0.479  0.364  0.885  0.818  0.725  0.386  0.607   NS   0.0113
dDocent_Contig_27205   10      920  0.796  0.800  0.775  0.557  0.380  0.194  0.065  0.367   NS   0.0018
dDocent_Contig_31702   12      906  0.840  0.855  0.838  0.453  0.290  0.124  0.038  0.332   NS   0.0078
dDocent_Contig_34609    8      934  0.628  0.650  0.599  0.758  0.591  0.407  0.173  0.468   NS   0.0153
dDocent_Contig_33279    5      940  0.455  0.432  0.399  0.903  0.761  0.610  0.356  0.623   NS  -0.0276
dDocent_Contig_6343    2      959  0.156  0.155  0.143  0.988  0.929  0.872  0.727  0.854   NS  -0.0056
dDocent_Contig_21332    4      930  0.580  0.665  0.606  0.759  0.597  0.425  0.171  0.461  ***   0.0697
dDocent_Contig_9246    2      955  0.193  0.188  0.170  0.982  0.915  0.852  0.678  0.826   NS  -0.0136
dDocent_Contig_23559   28      916  0.849  0.867  0.855  0.410  0.257  0.095  0.029  0.324   NS   0.0103
dDocent_Contig_1677    3      934  0.458  0.447  0.401  0.900  0.768  0.630  0.352  0.615   NS  -0.0117
dDocent_Contig_27328    6      936  0.501  0.494  0.472  0.862  0.693  0.506  0.278  0.573   NS  -0.0084
dDocent_Contig_69195    2      946  0.534  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0327
dDocent_Contig_7235    5      947  0.660  0.661  0.599  0.756  0.598  0.422  0.176  0.464   NS  -0.0008
dDocent_Contig_35613    2      948  0.168  0.171  0.156  0.985  0.922  0.862  0.702  0.840   NS   0.0097
dDocent_Contig_88143    2      947  0.459  0.433  0.339  0.906  0.831  0.741  0.416  0.638   NS  -0.0301
dDocent_Contig_26344    3      932  0.323  0.298  0.277  0.956  0.846  0.734  0.514  0.730   NS  -0.0589
dDocent_Contig_31802    2      956  0.423  0.406  0.324  0.917  0.838  0.750  0.435  0.656   NS  -0.0197
dDocent_Contig_107985    5      948  0.660  0.692  0.628  0.743  0.584  0.421  0.158  0.444   NS   0.0235
dDocent_Contig_42024    4      944  0.376  0.369  0.349  0.929  0.793  0.649  0.418  0.670   NS  -0.0209
dDocent_Contig_122845    2      941  0.428  0.420  0.331  0.912  0.834  0.745  0.425  0.647   NS  -0.0106
